"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 18:20:06 IST 2024","Mon Jun 17 18:20:08 IST 2024","1364","Bookstore","audio: Dynamic data test","","","","#34 Audio with Title:Free Yourself From Tension should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:53 IST 2024","Mon Jun 17 18:17:54 IST 2024","1516","Bookstore","books: Dynamic data test","","","","#8 Book with Title:Rajarsi Janakananda: A Great Western Yogi should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:36 IST 2024","Mon Jun 17 18:18:37 IST 2024","1115","Bookstore","books: Dynamic data test","","","","#125 Book with Title:Prayers of a Master for His Disciples should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:16 IST 2024","Mon Jun 17 18:18:17 IST 2024","1258","Bookstore","books: Dynamic data test","","","","#83 Book with Title:The Divine Romance should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:53 IST 2024","Mon Jun 17 18:19:54 IST 2024","1214","Bookstore","audio: Dynamic data test","","","","#25 Audio with Title:In the Glory of the Spirit should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:20:17 IST 2024","Mon Jun 17 18:20:18 IST 2024","1148","Bookstore","audio: Dynamic data test","","","","#42 Audio with Title:Karma Yoga should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:20:22 IST 2024","Mon Jun 17 18:20:24 IST 2024","1413","Bookstore","audio: Dynamic data test","","","","#46 Audio with Title:A Set of Six Talks by Sri Daya Mata (Set 2) should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:25:58 IST 2024","Mon Jun 17 18:26:06 IST 2024","8785","Magazines & Product Preview","yogoda-satsanga-magazine","","","","Tab1 >> Yogoda Satsanga Magazine:Click to preview should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:13 IST 2024","Mon Jun 17 18:18:15 IST 2024","1427","Bookstore","books: Dynamic data test","","","","#76 Book with Title:Scientific Healing Affirmations should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:58 IST 2024","Mon Jun 17 18:17:59 IST 2024","1191","Bookstore","books: Dynamic data test","","","","#16 Book with Title:How to Change Others should have new Preview link and give 200 OK status",""
